8OP178303O0941675S,101,101,2014-01-01,1256-1486-482,7849-0285-105,340193,340193,USD,1,Following was a salary transaction,2017-03-01,0
0FM291525M9845967B,101,101,2014-02-01,1256-1486-482,7849-0285-105,268145,268145,USD,1,Following was a salary transaction,2017-03-01,0
7TA538780N2475562H,101,101,2014-03-01,1256-1486-482,7849-0285-105,647953,647953,USD,1,Following was a salary transaction,2017-03-01,0
3UP757366G6441841M,101,101,2014-04-01,1256-1486-482,7849-0285-105,833164,833164,USD,1,Following was a salary transaction,2017-03-01,0
8FJ860265J1741745X,101,101,2014-05-01,1256-1486-482,7849-0285-105,998149,998149,USD,1,Following was a salary transaction,2017-03-01,0
9BF935401P1140789P,101,101,2014-06-01,1256-1486-482,7849-0285-105,944113,944113,USD,1,Following was a salary transaction,2017-03-01,0
5UO156823Z3283190I,101,101,2014-07-01,1256-1486-482,7849-0285-105,827171,827171,USD,1,Following was a salary transaction,2017-03-01,0
0YS824545B2435446Z,101,101,2014-09-01,1256-1486-482,7849-0285-105,59117,59117,USD,1,Following was a salary transaction,2017-03-01,0
7TS598904L5384020C,101,101,2014-10-01,1256-1486-482,7849-0285-105,407151,407151,USD,1,Following was a salary transaction,2017-03-01,0
3CI677028V9499518A,101,101,2014-11-01,1256-1486-482,7849-0285-105,181055,181055,USD,1,Following was a salary transaction,2017-03-01,0
8DM463618J6745543N,101,101,2014-12-01,1256-1486-482,7849-0285-105,830292,830292,USD,1,Following was a salary transaction,2017-03-01,0
9BB225681I8486821E,101,101,2015-01-01,1256-1486-482,7849-0285-105,185071,185071,USD,1,Following was a salary transaction,2017-03-01,0
6QY424583G3320712B,101,101,2015-02-01,1256-1486-482,7849-0285-105,219087,219087,USD,1,Following was a salary transaction,2017-03-01,0
1GF670790I3621722C,101,101,2015-03-01,1256-1486-482,7849-0285-105,983371,983371,USD,1,Following was a salary transaction,2017-03-01,0
4OD991779T6915633Z,101,101,2015-04-01,1256-1486-482,7849-0285-105,497993,497993,USD,1,Following was a salary transaction,2017-03-01,0
2EC411268M6953708T,101,101,2015-07-01,1256-1486-482,7849-0285-105,786270,786270,USD,1,Following was a salary transaction,2017-03-01,0
5CG838030F8884972F,101,101,2015-08-01,1256-1486-482,7849-0285-105,827730,827730,USD,1,Following was a salary transaction,2017-03-01,0
9CH661672N1065431J,101,101,2015-09-01,1256-1486-482,7849-0285-105,403745,403745,USD,1,Following was a salary transaction,2017-03-01,0
7SZ021061X5392419J,101,101,2015-10-01,1256-1486-482,7849-0285-105,846378,846378,USD,1,Following was a salary transaction,2017-03-01,0
8FY904497A6427214I,101,101,2015-11-01,1256-1486-482,7849-0285-105,774522,774522,USD,1,Following was a salary transaction,2017-03-01,0
1SI936005X7664705K,101,101,2015-12-01,1256-1486-482,7849-0285-105,671905,671905,USD,1,Following was a salary transaction,2017-03-01,0
8VA039597Y0042523F,101,101,2016-01-01,1256-1486-482,7849-0285-105,656365,656365,USD,1,Following was a salary transaction,2017-03-01,0
6OX747648N0688350X,101,101,2016-04-01,1256-1486-482,7849-0285-105,533232,533232,USD,1,Following was a salary transaction,2017-03-01,0
4IX075309D3931960F,101,101,2016-05-01,1256-1486-482,7849-0285-105,797231,797231,USD,1,Following was a salary transaction,2017-03-01,0
3MD326227Z6763009S,101,101,2016-06-01,1256-1486-482,7849-0285-105,321653,321653,USD,1,Following was a salary transaction,2017-03-01,0
3NK868875Y3182720S,101,101,2016-07-01,1256-1486-482,7849-0285-105,300076,300076,USD,1,Following was a salary transaction,2017-03-01,0
0US026889C7212627F,101,101,2016-08-01,1256-1486-482,7849-0285-105,422109,422109,USD,1,Following was a salary transaction,2017-03-01,0
4SI459143Q6319258B,101,102,2014-02-01,6849-1748-243,1640-7041-491,768349,768349,USD,1,This was a loan installment,2017-03-01,0
6CH357931O5291284E,101,102,2014-03-01,6849-1748-243,1640-7041-491,127187,127187,USD,1,This was a loan installment,2017-03-01,0
6CH324752U2110926G,101,102,2014-04-01,6849-1748-243,1640-7041-491,8517,8517,USD,1,This was a loan installment,2017-03-01,0
5IM950873B0567423Y,101,102,2014-07-01,6849-1748-243,1640-7041-491,63562,63562,USD,1,This was a loan installment,2017-03-01,0
