752156,101,10101,6738,Redwood,Traditional - Bank Owned Spaces,Doug McCloud,+1 (408)-406-3959,doug07@bns.com,2017-03-01,0
807890,102,10101,1234,Brighton,In Store / Retail Spaces,Perry Williams,+1 (408)-406-3959,perry.w@bns.com,2017-03-01,0
333791,103,10101,7090,Downtown,Foreign Bank Branch,Gerard White,+1 (480)-740-2040,gerard88@bns.com,2017-03-01,0
503978,103,10101,2919,Mianus,Foreign Bank Branch,Jayden Fonseca,+1 (502)-418-2417,jayden12@bns.com,2017-03-01,0
231280,101,10101,3199,North Town,Traditional - Bank Owned Spaces,Anna Kendrick,+1 (504)-687-3498,anna.kn@bns.com,2017-03-01,0
995609,102,45565,4534,Perryridge,In Store / Retail Spaces,Bradley Daniel,+1 (507)-216-9981,write2brad@boa.com,2017-03-01,0
414076,103,45565,1009,Pownal,Foreign Bank Branch,Patricia Doughlas,+1 (490)-637-1190,patricia_12@boa.com,2017-03-01,0
706159,101,45565,1235,Round Hill,Traditional - Bank Owned Spaces,Brian Shia,+1 (510)-329-1740,brian-shia@boa.com,2017-03-01,0
159881,102,45565,7629,Woodbridge,In Store / Retail Spaces,Alex Hassle,+1 (509)-167-3045,alex94@boa.com,2017-03-01,0
881111,103,45565,9375,Willow Farms,Foreign Bank Branch,Britney Smith,+1 (508)-268-3901,britney_s@boa.com,2017-03-01,0
348409,101,98345,5890,West Virginia,Traditional - Bank Owned Spaces,Betsy Johnson,+1 (504)-489-1130,betsy09@wf.com,2017-03-01,0
677321,101,98345,1063,La Cantera,Traditional - Bank Owned Spaces,James Jones,+1 (406)-476-4491,james.cool@wf.com,2017-03-01,0
319105,102,98345,1578,Louisville,In Store / Retail Spaces,Abigail Miller,+1 (490)-173-4858,abigail_miller@wf.com,2017-03-01,0
251623,101,98345,8052,Mason County,Traditional - Bank Owned Spaces,Taylor Moore,+1 (550)-241-4984,tay_99@wf.com,2017-03-01,0
975309,103,98345,7999,Wisconsin,Foreign Bank Branch,Selena Andrews,+1 (560)-589-3192,selena.01@wf.com,2017-03-01,0
870594,101,58890,6788,Saint-Hilarion,Traditional - Bank Owned Spaces,Len Holden,+1 (407)-406-3959,lenholden@gs.com,2017-03-01,0
192096,102,58890,8372,Rodgau,In Store / Retail Spaces,Celeste Mcclure,+1 (407)-406-3959,celeste09@gs.com,2017-03-01,0
760690,103,58890,8298,Zeitz,Foreign Bank Branch,Allistair Kline,+1 (489)-740-2040,allistair_official@gs.com,2017-03-01,0
628360,103,58890,9678,Santo Stefano del Sole,Foreign Bank Branch,Simon Hancock,+1 (501)-418-2417,simon_says@gs.com,2017-03-01,0
208590,101,58890,4483,Darwin,Traditional - Bank Owned Spaces,Rooney Armstrong,+1 (503)-687-3498,Rooney01@gs.com,2017-03-01,0
103418,102,19120,9040,Neyveli,In Store / Retail Spaces,Melanie Burns,+1 (506)-216-9981,melanie08@morgan.com,2017-03-01,0
522015,103,19120,1525,Glain,Foreign Bank Branch,Demetria Reese,+1 (499)-637-1190,Demetria_vega@morgan.com,2017-03-01,0
398627,101,19120,4759,Campbeltown,Traditional - Bank Owned Spaces,Brett Horne,+1 (519)-329-1740,brett.official@morgan.com,2017-03-01,0
